id	title	description	link	price	availability	image_link	gtin	mpn	brand	update_type
46	$50 Nintendo eShop US SPECIAL OFFER 	$50 Nintendo eShop US SPECIAL OFFER  	https://www.gamestoreml.store/es/item/-50-nintendo-eshop-us-special-offer-/2586ca54-6430-4ad7-a3cc-663c369fa5ed.html	42.92 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:1655026b-f5ca-4b1b-bead-3b3f2d989980/2586ca54-6430-4ad7-a3cc-663c369fa5ed/886079cc-b2a3-47fd-b5d4-dc7d9814886b/640x640.webp	00679628202020		$50 Nintendo eShop US SPECIAL OFFER 	merge
47	$50 Nintendo eShop US SPECIAL OFFER 	$50 Nintendo eShop US SPECIAL OFFER  	https://www.gamestoreml.store/es/item/-50-nintendo-eshop-us-special-offer-/3cc11143-8b80-4e82-a840-432bbe9eb1b0.html	42.92 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:1655026b-f5ca-4b1b-bead-3b3f2d989980/3cc11143-8b80-4e82-a840-432bbe9eb1b0/cd226029-8769-4c54-8c63-31cdaa51392b/640x640.webp	00679628202037		$50 Nintendo eShop US SPECIAL OFFER 	merge
48	$50 Nintendo eShop US SPECIAL OFFER 	$50 Nintendo eShop US SPECIAL OFFER  	https://www.gamestoreml.store/es/item/-50-nintendo-eshop-us-special-offer-/75fb17d6-8119-4128-9b3e-b600fd61f0d6.html	42.92 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:1655026b-f5ca-4b1b-bead-3b3f2d989980/75fb17d6-8119-4128-9b3e-b600fd61f0d6/446050a8-7e2c-4e45-88b4-f0e0730e7c9e/640x640.webp	00679628202044		$50 Nintendo eShop US SPECIAL OFFER 	merge
49	Nintendo eShop $35 Gift Card (USA)	Nintendo eShop $35 Gift Card (USA) 	https://www.gamestoreml.store/es/item/nintendo-eshop-35-gift-card-usa-/022c0218-56d5-4555-b8cc-a452bf6f8815.html	30.05 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:1655026b-f5ca-4b1b-bead-3b3f2d989980/022c0218-56d5-4555-b8cc-a452bf6f8815/06dd906a-012c-4fba-a761-89800dd2b546/640x640.webp	00679628202051		Nintendo eShop $35 Gift Card (USA)	merge
50	Nintendo eShop $35 Gift Card (USA)	Nintendo eShop $35 Gift Card (USA) 	https://www.gamestoreml.store/es/item/nintendo-eshop-35-gift-card-usa-/ed6dc717-f699-411e-bc5f-3452efc4bcf0.html	30.05 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:1655026b-f5ca-4b1b-bead-3b3f2d989980/ed6dc717-f699-411e-bc5f-3452efc4bcf0/558bdac3-2873-458a-abbc-049b74374dce/640x640.webp	00679628202068		Nintendo eShop $35 Gift Card (USA)	merge
51	Nintendo eShop $35 Gift Card (USA)	Nintendo eShop $35 Gift Card (USA) 	https://www.gamestoreml.store/es/item/nintendo-eshop-35-gift-card-usa-/87fd4200-c30a-48fd-b68a-35c45898aebb.html	30.05 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:1655026b-f5ca-4b1b-bead-3b3f2d989980/87fd4200-c30a-48fd-b68a-35c45898aebb/214172cb-aa65-4979-a3e3-d039e11c2519/640x640.webp	00679628202075		Nintendo eShop $35 Gift Card (USA)	merge
52	Nintendo eShop $35 Gift Card (USA)	Nintendo eShop $35 Gift Card (USA) 	https://www.gamestoreml.store/es/item/nintendo-eshop-35-gift-card-usa-/f54d6761-caa2-45cd-8b05-5cf8a86c0110.html	30.05 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:1655026b-f5ca-4b1b-bead-3b3f2d989980/f54d6761-caa2-45cd-8b05-5cf8a86c0110/b5db6a8b-5232-4acf-9047-22f79e013ca1/640x640.webp	00679628202082		Nintendo eShop $35 Gift Card (USA)	merge
53	Nintendo eShop $35 Gift Card (USA)	Nintendo eShop $35 Gift Card (USA) 	https://www.gamestoreml.store/es/item/nintendo-eshop-35-gift-card-usa-/bb0ec238-287b-4ce4-9d8c-bf43aa84c83a.html	30.05 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:1655026b-f5ca-4b1b-bead-3b3f2d989980/bb0ec238-287b-4ce4-9d8c-bf43aa84c83a/84ad72c0-e440-4423-9b59-b21fd7812677/640x640.webp	00679628202099		Nintendo eShop $35 Gift Card (USA)	merge
54	Nintendo eShop $35 Gift Card (USA)	Nintendo eShop $35 Gift Card (USA) 	https://www.gamestoreml.store/es/item/nintendo-eshop-35-gift-card-usa-/ab4f2c46-d347-422b-a78e-4bfbb488aa9a.html	30.05 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:1655026b-f5ca-4b1b-bead-3b3f2d989980/ab4f2c46-d347-422b-a78e-4bfbb488aa9a/e7c1b5bf-a295-4b24-b167-683c4715b847/640x640.webp	00679628202112		Nintendo eShop $35 Gift Card (USA)	merge
55	Nintendo eShop $35 Gift Card (USA)	Nintendo eShop $35 Gift Card (USA) 	https://www.gamestoreml.store/es/item/nintendo-eshop-35-gift-card-usa-/826bce80-8a36-45af-b590-7c61cf1c2f4b.html	30.05 USD	in_stock	https://production-gameflipusercontent.fingershock.com/us-east-1:1655026b-f5ca-4b1b-bead-3b3f2d989980/826bce80-8a36-45af-b590-7c61cf1c2f4b/a1a1bd9e-ec3c-4760-bb79-9a00f6d3caea/640x640.webp	00679628202129		Nintendo eShop $35 Gift Card (USA)	merge
